# Time (s);Altitude (m);Vertical velocity (m/s);Vertical acceleration (m/s²);Total velocity (m/s);Total acceleration (m/s²);Position East of launch (m);Position North of launch (m);Lateral distance (m);Lateral direction (°);Lateral velocity (m/s);Lateral acceleration (m/s²);Latitude (°);Longitude (°);Gravitational acceleration (m/s²);Angle of attack (°);Roll rate (°/s);Pitch rate (°/s);Yaw rate (°/s);Mass (g);Propellant mass (g);Longitudinal moment of inertia (kg·m²);Rotational moment of inertia (kg·m²);CP location (mm);CG location (mm);Stability margin calibers (?);Mach number (?);Reynolds number (?);Thrust (N);Drag force (N);Drag coefficient (?);Axial drag coefficient (?);Friction drag coefficient (?);Pressure drag coefficient (?);Base drag coefficient (?);Normal force coefficient (?);Pitch moment coefficient (?);Yaw moment coefficient (?);Side force coefficient (?);Roll moment coefficient (?);Roll forcing coefficient (?);Roll damping coefficient (?);Pitch damping coefficient (?);Coriolis acceleration (m/s²);Reference length (mm);Reference area (cm²);Vertical orientation (zenith) (°);Lateral orientation (azimuth) (°);Wind velocity (m/s);Air temperature (°C);Air pressure (mbar);Speed of sound (m/s);Simulation time step (s);Computation time (s)
0;0;0;-2.4907;0;2.6506;0;0;0;0;0;0.90655;52;20;9.8122;110;0;0;0;14136;4498.6;6.0035;0.091656;NaN;1424.2;NaN;0.0081131;441385;92.865;-0.0041847;0.693;-0.05888;0.45283;0.16608;0.074087;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;140;153.94;70;180;NaN;14.35;1001.5;340;0.01;0.0013198
0.01;0;0;28.178;0;29.986;0;0;0;0;0;10.256;52;20;9.8122;110;0;0;0;14136;4498.6;6.0035;0.091656;NaN;1424.2;NaN;0.0079929;434844;554.21;-0.0040701;0.69447;-0.059004;0.4543;0.16608;0.074087;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;140;153.94;70;180;NaN;14.35;1001.5;340;0.01;0.0017839
0.02;0.0014092;0.28186;61.482;0.29995;65.427;-5.13E-04;0;5.13E-04;180;0.10259;22.377;52;20;9.8122;103.75;0;0;0;14132;4495;6.0025;0.091654;NaN;1424.1;NaN;0.0076162;414350;1054.9;-0.0013072;0.69924;-0.02087;0.45908;0.16608;0.074086;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.94E-05;140;153.94;70;180;NaN;14.35;1001.5;339.99;0.01;0.0025375
0.03;0.0073026;0.89686;94.809;0.95442;100.89;-0.0026579;0;0.0026579;180;0.32643;34.508;52;20;9.8122;88.776;0;0;0;14128;4490.5;6.0012;0.091651;NaN;1424;NaN;0.0072866;396418;1555.6;9.77E-07;0.70369;1.70E-05;0.46352;0.16608;0.074086;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;9.35E-05;140;153.94;70;180;NaN;14.35;1001.5;339.99;0.01;0.002884
0.04;0.021013;1.8452;120.05;1.9636;127.76;-0.007648;0;0.007648;180;0.67161;43.696;52;20;9.8122;66.187;0;0;0;14123;4486;6;0.091647;NaN;1423.8;NaN;0.0078393;426489;1934.6;0.0063;0.69638;0.094944;0.45621;0.16608;0.074087;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.92E-04;140;153.94;70;180;NaN;14.35;1001.5;339.99;0.01;0.0032781
0.05;0.04547;3.0462;121.83;3.2417;129.65;-0.01655;0;0.01655;180;1.1087;44.343;52;20;9.8122;45.382;0;0;0;14117;4479.7;5.9982;0.091643;NaN;1423.6;NaN;0.0099169;539518;1960.5;0.046022;0.674;0.4334;0.43383;0.16609;0.07409;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.18E-04;140;153.94;70;180;NaN;14.35;1001.5;339.99;0.01;0.0035863
0.06;0.082026;4.2652;122.15;4.539;129.99;-0.029855;0;0.029855;180;1.5524;44.458;52;20;9.8122;33.146;0;0;0;14108;4470.6;5.9956;0.091636;NaN;1423.4;NaN;0.012883;700858;1964;0.11917;0.65099;0.66506;0.4108;0.16609;0.074095;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.45E-04;140;153.94;70;180;NaN;14.349;1001.5;339.99;0.01;0.0038878
0.07;0.13079;5.4874;122.47;5.8396;130.33;-0.047603;0;0.047603;180;1.9973;44.574;52;20;9.8122;25.681;0;0;0;14098;4460.7;5.9928;0.091629;NaN;1423.1;NaN;0.016219;882388;1967.5;0.21664;0.63221;0.76271;0.39201;0.1661;0.074103;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5.72E-04;140;153.94;70;180;NaN;14.349;1001.5;339.99;0.01;0.0042167
0.08;0.19179;6.7128;122.79;7.1436;130.67;-0.069805;0;0.069805;180;2.4433;44.69;52;20;9.8122;20.805;0;0;0;14088;4450.8;5.99;0.091622;NaN;1422.7;NaN;0.019746;1074234;1971;0.33264;0.61718;0.79015;0.37696;0.16611;0.074113;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;7.00E-04;140;153.94;70;180;NaN;14.349;1001.5;339.99;0.01;0.0045446
0.09;0.26506;7.9414;123.1;8.4511;131.01;-0.096474;0;0.096474;180;2.8904;44.806;52;20;9.8122;17.417;0;0;0;14078;4441;5.9872;0.091615;NaN;1422.4;NaN;0.023381;1272001;1974.6;0.46412;0.60496;0.7863;0.36472;0.16612;0.074126;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;8.28E-04;140;153.94;70;180;NaN;14.348;1001.5;339.99;0.01;0.004889
