# Time (s);Altitude (m);Vertical velocity (m/s);Vertical acceleration (m/s²);Total velocity (m/s);Total acceleration (m/s²);Position East of launch (m);Position North of launch (m);Lateral distance (m);Lateral direction (°);Lateral velocity (m/s);Lateral acceleration (m/s²);Latitude (°);Longitude (°);Gravitational acceleration (m/s²);Angle of attack (°);Roll rate (°/s);Pitch rate (°/s);Yaw rate (°/s);Mass (g);Propellant mass (g);Longitudinal moment of inertia (kg·m²);Rotational moment of inertia (kg·m²);CP location (mm);CG location (mm);Stability margin calibers (?);Mach number (?);Reynolds number (?);Thrust (N);Drag force (N);Drag coefficient (?);Axial drag coefficient (?);Friction drag coefficient (?);Pressure drag coefficient (?);Base drag coefficient (?);Normal force coefficient (?);Pitch moment coefficient (?);Yaw moment coefficient (?);Side force coefficient (?);Roll moment coefficient (?);Roll forcing coefficient (?);Roll damping coefficient (?);Pitch damping coefficient (?);Coriolis acceleration (m/s²);Reference length (mm);Reference area (cm²);Vertical orientation (zenith) (°);Lateral orientation (azimuth) (°);Wind velocity (m/s);Air temperature (°C);Air pressure (mbar);Speed of sound (m/s);Simulation time step (s);Computation time (s)
0;0;0;-3.2598;0;3.469;0;0;0;0;0;1.1865;52;20;9.8122;110;0;0;0;16148;4498.6;6.9526;0.094708;NaN;1353.8;NaN;0.010849;590211;92.865;-0.0071896;0.66589;-0.056576;0.42571;0.16609;0.074091;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;140;153.94;70;180;NaN;14.35;1001.5;340;0.01;0.0017402
0.01;0;0;23.587;0;25.101;0;0;0;0;0;8.585;52;20;9.8122;110;0;0;0;16148;4498.6;6.9526;0.094708;NaN;1353.8;NaN;0.010973;596951;554.21;-0.0073436;0.66488;-0.05649;0.4247;0.16609;0.074091;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;140;153.94;70;180;NaN;14.35;1001.5;340;0.01;0.0022762
0.02;0.0011796;0.23593;52.739;0.25107;56.124;-4.2934e-4;0;4.2934e-4;180;0.085872;19.195;52;20;9.8122;106.34;0;0;0;16144;4495;6.9513;0.094705;NaN;1353.7;NaN;0.010866;591156;1054.9;-0.0041176;0.66574;-0.032298;0.42557;0.16609;0.074091;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.4609e-5;140;153.94;70;180;NaN;14.35;1001.5;339.99;0.01;0.0027487
0.03;0.0061764;0.76346;81.909;0.81246;87.166;-0.002248;0;0.002248;180;0.27788;29.812;52;20;9.8122;97.819;0;0;0;16140;4490.5;6.9498;0.094702;NaN;1353.6;NaN;0.010643;579000;1555.6;-4.7988e-4;0.6676;-0.0039239;0.42742;0.16609;0.074091;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;7.9634e-5;140;153.94;70;180;NaN;14.35;1001.5;339.99;0.01;0.0032589
0.04;0.017907;1.5828;104;1.6843;110.68;-0.0065177;0;0.0065177;180;0.57608;37.853;52;20;9.8122;84.247;0;0;0;16135;4486;6.9482;0.094699;NaN;1353.4;NaN;0.010714;582886;1934.6;1.9802e-4;0.667;0.0015977;0.42682;0.16609;0.074091;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.6509e-4;140;153.94;70;180;NaN;14.35;1001.5;339.99;0.01;0.0037418
0.05;0.038936;2.6231;105.55;2.7915;112.33;-0.014172;0;0.014172;180;0.95474;38.418;52;20;9.8122;68.302;0;0;0;16129;4479.7;6.946;0.094694;NaN;1353.2;NaN;0.011598;630991;1960.5;0.010172;0.66;0.070033;0.41982;0.16609;0.074092;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.7361e-4;140;153.94;70;180;NaN;14.35;1001.5;339.99;0.01;0.0042161
0.06;0.070448;3.6792;105.82;3.9153;112.61;-0.025641;0;0.025641;180;1.3391;38.516;52;20;9.8122;53.554;0;0;0;16120;4470.6;6.9428;0.094688;NaN;1352.9;NaN;0.012985;706443;1964;0.047927;0.65032;0.26325;0.41013;0.16609;0.074095;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.8377e-4;140;153.94;70;180;NaN;14.35;1001.5;339.99;0.01;0.0047077
0.07;0.11253;4.738;106.09;5.0421;112.9;-0.040959;0;0.040959;180;1.7245;38.615;52;20;9.8122;42.217;0;0;0;16110;4460.7;6.9394;0.09468;NaN;1352.6;NaN;0.015053;818936;1967.5;0.11591;0.63815;0.47377;0.39795;0.1661;0.0741;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.942e-4;140;153.94;70;180;NaN;14.349;1001.5;339.99;0.01;0.0051949
0.08;0.16522;5.7995;106.36;6.1717;113.19;-0.060135;0;0.060135;180;2.1108;38.713;52;20;9.8122;33.843;0;0;0;16100;4450.8;6.9359;0.094673;NaN;1352.3;NaN;0.017568;955746;1971;0.20891;0.626;0.62692;0.38579;0.1661;0.074106;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;6.0492e-4;140;153.94;70;180;NaN;14.349;1001.5;339.99;0.01;0.0056306
0.09;0.22854;6.8637;106.63;7.3042;113.48;-0.08318;0;0.08318;180;2.4982;38.812;52;20;9.8122;27.651;0;0;0;16090;4441;6.9324;0.094666;NaN;1352;NaN;0.020369;1108132;1974.6;0.32076;0.61489;0.71604;0.37466;0.16611;0.074115;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;7.1593e-4;140;153.94;70;180;NaN;14.349;1001.5;339.99;0.01;0.0060433
