# Time (s);Altitude (m);Vertical velocity (m/s);Vertical acceleration (m/s²);Total velocity (m/s);Total acceleration (m/s²);Position East of launch (m);Position North of launch (m);Lateral distance (m);Lateral direction (°);Lateral velocity (m/s);Lateral acceleration (m/s²);Latitude (°);Longitude (°);Gravitational acceleration (m/s²);Angle of attack (°);Roll rate (°/s);Pitch rate (°/s);Yaw rate (°/s);Mass (g);Propellant mass (g);Longitudinal moment of inertia (kg·m²);Rotational moment of inertia (kg·m²);CP location (mm);CG location (mm);Stability margin calibers (?);Mach number (?);Reynolds number (?);Thrust (N);Drag force (N);Drag coefficient (?);Axial drag coefficient (?);Friction drag coefficient (?);Pressure drag coefficient (?);Base drag coefficient (?);Normal force coefficient (?);Pitch moment coefficient (?);Yaw moment coefficient (?);Side force coefficient (?);Roll moment coefficient (?);Roll forcing coefficient (?);Roll damping coefficient (?);Pitch damping coefficient (?);Coriolis acceleration (m/s²);Reference length (mm);Reference area (cm²);Vertical orientation (zenith) (°);Lateral orientation (azimuth) (°);Wind velocity (m/s);Air temperature (°C);Air pressure (mbar);Speed of sound (m/s);Simulation time step (s);Computation time (s)
0;0;0;-3.2606;0;3.4698;0;0;0;0;0;1.1867;52;20;9.8122;70;0;0;0;16148;4498.6;6.9526;0.094708;NaN;1353.8;NaN;0.0091079;495508;92.865;0.0051894;0.68191;0.057937;0.44173;0.16608;0.074088;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;140;153.94;70;0;NaN;14.35;1001.5;340;0.01;0.0017978
0.01;0;0;23.586;0;25.1;0;0;0;0;0;8.5848;52;20;9.8122;70;0;0;0;16148;4498.6;6.9526;0.094708;NaN;1353.8;NaN;0.0090286;491190;554.21;0.0051055;0.68273;0.058007;0.44256;0.16608;0.074088;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;140;153.94;70;0;NaN;14.35;1001.5;340;0.01;0.0023549
0.02;0.0011796;0.23592;52.738;0.25106;56.123;4.2932e-4;0;4.2932e-4;0;0.085869;19.195;52;20;9.8122;65.687;0;0;0;16144;4495;6.9513;0.094705;NaN;1353.7;NaN;0.0092279;502034;1054.9;0.0090193;0.68068;0.098096;0.4405;0.16608;0.074088;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.4608e-5;140;153.94;70;0;NaN;14.35;1001.5;339.99;0.01;0.0028142
0.03;0.0061763;0.76344;81.907;0.81244;87.164;0.002248;0;0.002248;0;0.27787;29.812;52;20;9.8122;56.949;0;0;0;16140;4490.5;6.9498;0.094702;NaN;1353.6;NaN;0.0099439;540990;1555.6;0.022927;0.67375;0.21474;0.43358;0.16609;0.07409;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;7.9632e-5;140;153.94;70;0;NaN;14.35;1001.5;339.99;0.01;0.0032752
0.04;0.017907;1.5827;104;1.6843;110.67;0.0065176;0;0.0065176;0;0.57606;37.852;52;20;9.8122;46.059;0;0;0;16135;4486;6.9482;0.094699;NaN;1353.4;NaN;0.011472;624107;1934.6;0.058426;0.66096;0.41118;0.42078;0.16609;0.074092;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.6509e-4;140;153.94;70;0;NaN;14.35;1001.5;339.99;0.01;0.0038241
0.05;0.038935;2.623;105.55;2.7914;112.32;0.014171;0;0.014171;0;0.95471;38.416;52;20;9.8122;36.188;0;0;0;16129;4479.7;6.946;0.094694;NaN;1353.2;NaN;0.013864;754254;1960.5;0.12465;0.64486;0.60059;0.40467;0.16609;0.074097;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.736e-4;140;153.94;70;0;NaN;14.35;1001.5;339.99;0.01;0.00431
0.06;0.070445;3.679;105.81;3.9151;112.6;0.02564;0;0.02564;0;1.3391;38.512;52;20;9.8122;29.619;0;0;0;16120;4470.6;6.9428;0.094688;NaN;1352.9;NaN;0.016702;908669;1964;0.21197;0.62991;0.70371;0.38971;0.1661;0.074104;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.8375e-4;140;153.94;70;0;NaN;14.35;1001.5;339.99;0.01;0.0047825
0.07;0.11253;4.7377;106.08;5.0418;112.89;0.040957;0;0.040957;0;1.7244;38.61;52;20;9.8122;24.991;0;0;0;16110;4460.7;6.9394;0.09468;NaN;1352.6;NaN;0.019703;1071928;1967.5;0.31561;0.61734;0.75293;0.37712;0.16611;0.074113;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.9417e-4;140;153.94;70;0;NaN;14.349;1001.5;339.99;0.01;0.0052898
0.08;0.16521;5.7991;106.35;6.1712;113.18;0.060132;0;0.060132;0;2.1107;38.708;52;20;9.8122;21.594;0;0;0;16100;4450.8;6.9359;0.094673;NaN;1352.3;NaN;0.022806;1240745;1971;0.4333;0.60672;0.77154;0.36648;0.16612;0.074123;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;6.0488e-4;140;153.94;70;0;NaN;14.349;1001.5;339.99;0.01;0.0057404
0.09;0.22852;6.8631;106.62;7.3036;113.46;0.083175;0;0.083175;0;2.498;38.806;52;20;9.8122;19.011;0;0;0;16090;4441;6.9324;0.094666;NaN;1352;NaN;0.025978;1413304;1974.6;0.56366;0.59765;0.77354;0.35738;0.16613;0.074136;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;7.1587e-4;140;153.94;70;0;NaN;14.349;1001.5;339.99;0.01;0.0061794
