# Time (s);Altitude (m);Vertical velocity (m/s);Vertical acceleration (m/s²);Total velocity (m/s);Total acceleration (m/s²);Position East of launch (m);Position North of launch (m);Lateral distance (m);Lateral direction (°);Lateral velocity (m/s);Lateral acceleration (m/s²);Latitude (°);Longitude (°);Gravitational acceleration (m/s²);Angle of attack (°);Roll rate (°/s);Pitch rate (°/s);Yaw rate (°/s);Mass (g);Propellant mass (g);Longitudinal moment of inertia (kg·m²);Rotational moment of inertia (kg·m²);CP location (mm);CG location (mm);Stability margin calibers (?);Mach number (?);Reynolds number (?);Thrust (N);Drag force (N);Drag coefficient (?);Axial drag coefficient (?);Friction drag coefficient (?);Pressure drag coefficient (?);Base drag coefficient (?);Normal force coefficient (?);Pitch moment coefficient (?);Yaw moment coefficient (?);Side force coefficient (?);Roll moment coefficient (?);Roll forcing coefficient (?);Roll damping coefficient (?);Pitch damping coefficient (?);Coriolis acceleration (m/s²);Reference length (mm);Reference area (cm²);Vertical orientation (zenith) (°);Lateral orientation (azimuth) (°);Wind velocity (m/s);Air temperature (°C);Air pressure (mbar);Speed of sound (m/s);Simulation time step (s);Computation time (s)
0;0;0;-2.4914;0;2.6513;0;0;0;0;0;0.9068;52;20;9.8122;70;0;0;0;14136;4498.6;6.0035;0.091656;NaN;1424.2;NaN;0.0099715;542490;92.865;0.0061434;0.6735;0.057222;0.43332;0.16609;0.07409;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;140;153.94;70;0;NaN;14.35;1001.5;340;0.01;0.0015827
0.01;0;0;28.177;0;29.986;0;0;0;0;0;10.256;52;20;9.8122;70;0;0;0;14136;4498.6;6.0035;0.091656;NaN;1424.2;NaN;0.0097415;529977;554.21;0.0058819;0.67564;0.057404;0.43547;0.16609;0.074089;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;140;153.94;70;0;NaN;14.35;1001.5;340;0.01;0.0019385
0.02;0.0014092;0.28185;61.481;0.29994;65.427;5.129e-4;0;5.129e-4;0;0.10258;22.377;52;20;9.8122;65.171;0;0;0;14132;4495;6.0025;0.091654;NaN;1424.1;NaN;0.0098482;535781;1054.9;0.010767;0.67464;0.10282;0.43446;0.16609;0.074089;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.9399e-5;140;153.94;70;0;NaN;14.35;1001.5;339.99;0.01;0.0022533
0.03;0.0073024;0.89684;94.807;0.9544;100.89;0.0026579;0;0.0026579;0;0.32642;34.507;52;20;9.8122;55.557;0;0;0;14128;4490.5;6.0012;0.091651;NaN;1424;NaN;0.010576;575367;1555.6;0.028477;0.66817;0.2358;0.42799;0.16609;0.074091;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;9.3546e-5;140;153.94;70;0;NaN;14.35;1001.5;339.99;0.01;0.00257
0.04;0.021012;1.8452;120.05;1.9636;127.75;0.0076478;0;0.0076478;0;0.67159;43.694;52;20;9.8122;43.795;0;0;0;14123;4486;6;0.091647;NaN;1423.8;NaN;0.01229;668622;1934.6;0.073987;0.65499;0.45367;0.41481;0.16609;0.074094;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.9246e-4;140;153.94;70;0;NaN;14.35;1001.5;339.99;0.01;0.0029059
0.05;0.045468;3.0461;121.82;3.2416;129.64;0.016549;0;0.016549;0;1.1087;44.34;52;20;9.8122;33.443;0;0;0;14117;4479.7;5.9982;0.091643;NaN;1423.6;NaN;0.015042;818327;1960.5;0.15795;0.63821;0.64656;0.39801;0.1661;0.0741;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.1773e-4;140;153.94;70;0;NaN;14.35;1001.5;339.99;0.01;0.003218
0.06;0.082023;4.265;122.14;4.5387;129.97;0.029854;0;0.029854;0;1.5523;44.454;52;20;9.8122;26.699;0;0;0;14108;4470.6;5.9956;0.091636;NaN;1423.4;NaN;0.018291;995082;1964;0.26675;0.62293;0.73847;0.38271;0.16611;0.074108;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.4487e-4;140;153.94;70;0;NaN;14.349;1001.5;339.99;0.01;0.0035441
0.07;0.13078;5.4871;122.45;5.8392;130.31;0.047601;0;0.047601;0;1.9971;44.57;52;20;9.8122;22.024;0;0;0;14098;4460.7;5.9928;0.091629;NaN;1423.1;NaN;0.021725;1181912;1967.5;0.39379;0.6102;0.77273;0.36996;0.16612;0.07412;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5.7234e-4;140;153.94;70;0;NaN;14.349;1001.5;339.99;0.01;0.0039863
0.08;0.19178;6.7124;122.77;7.1431;130.65;0.069802;0;0.069802;0;2.4431;44.685;52;20;9.8122;18.634;0;0;0;14088;4450.8;5.99;0.091622;NaN;1422.7;NaN;0.025274;1374958;1971;0.53596;0.59954;0.77713;0.35927;0.16613;0.074133;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;7.0014e-4;140;153.94;70;0;NaN;14.349;1001.5;339.99;0.01;0.0043858
0.09;0.26504;7.9408;123.09;8.4504;130.99;0.096468;0;0.096468;0;2.8902;44.801;52;20;9.8122;16.079;0;0;0;14078;4441;5.9872;0.091615;NaN;1422.4;NaN;0.028898;1572144;1974.6;0.69079;0.59048;0.76612;0.35018;0.16615;0.074149;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;8.2828e-4;140;153.94;70;0;NaN;14.348;1001.5;339.99;0.01;0.0048881
0.1;0.35061;9.1724;123.41;9.761;131.33;0.12761;0;0.12761;0;3.3385;44.916;52;20;9.8122;14.093;0;0;0;14068;4431.1;5.9844;0.091607;NaN;1422.1;NaN;0.032577;1772275;1978.1;0.8524;0.58268;0.74389;0.34234;0.16617;0.074167;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;9.5674e-4;140;153.94;70;0;NaN;14.348;1001.5;339.99;0.01;0.0052064
0.11;0.44851;10.407;123.72;11.075;131.66;0.16324;0;0.16324;0;3.7879;45.031;52;20;9.8122;12.928;0;0;0;14058;4421.2;5.9816;0.0916;NaN;1421.8;NaN;0.036469;1983956;1981.6;1.0409;0.57687;0.7249;0.33649;0.16619;0.074188;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.0010855;140;153.94;70;0;NaN;14.347;1001.5;339.99;0.01;0.0055212
0.12;0.55877;11.645;124.04;12.392;132;0.20337;0;0.20337;0;4.2385;45.145;52;20;9.8122;11.986;0;0;0;14048;4411.3;5.9788;0.091593;NaN;1421.5;NaN;0.040382;2196818;1985.1;1.2565;0.57691;0.71369;0.33648;0.16621;0.074213;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.0012147;140;153.94;70;0;NaN;14.346;1001.5;339.99;0.01;0.0058283
0.13;0.68142;12.886;124.35;13.713;132.33;0.24802;0;0.24802;0;4.6902;45.259;52;20;9.8122;11.207;0;0;0;14038;4401.4;5.976;0.091586;NaN;1421.2;NaN;0.044314;2410689;1988.7;1.4914;0.57695;0.70345;0.33647;0.16624;0.074239;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.0013441;140;153.94;70;0;NaN;14.346;1001.4;339.99;0.01;0.0061375
